SPECIES,SPECIESclade,SPECIESclade2,SPECIESclade3,POP,IND,IND2,Latitud,Longitud,Nota
C_boryana,C_boryana,C_boryana,C_boryana,POP09,C17ME24_8,C17ME24_08,-21.173921,55.378168,"Taken from iNaturalist, ind one from the pop"
C_boryana,C_boryana,C_boryana,C_boryana,POP09,C17ME24_9,C17ME24_09,-21.173921,55.378168,"Taken from iNaturalist, ind one from the pop"
C_boryana,C_boryana,C_boryana,C_boryana,POP10,C18ME24_1,C18ME24_01,-21.105782,55.3644,
C_boryana,C_boryana,C_boryana,C_boryana,POP10,C18ME24_3,C18ME24_03,-21.105755,55.364426,
C_boryana,C_boryana,C_boryana,C_boryana,POP10,C18ME24_9,C18ME24_09,-21.105739,55.36437,
C_boryana,C_boryana,C_boryana,C_boryana,POP10,C18ME24_2,C18ME24_02,-21.105734,55.364429,
C_boryana,C_boryana,C_boryana,C_boryana,POP10,C18ME24_5,C18ME24_05,-21.105692,55.364317,
C_boryana,C_boryana,C_boryana,C_boryana,POP10,C18ME24_6,C18ME24_06,-21.105666,55.36438,
C_boryana,C_boryana,C_boryana,C_boryana,POP10,C18ME24_4,C18ME24_04,-21.105583,55.36443,
C_boryana,C_boryana,C_boryana,C_boryana,POP10,C18ME24_7,C18ME24_07,-21.105573,55.364372,
C_boryana,C_boryana,C_boryana,C_boryana,POP10,C18ME24_8,C18ME24_08,-21.105543,55.36431,
C_boryana,C_boryana,C_boryana,C_boryana,POP10,C18ME24_10,C18ME24_10,-21.105464,55.364424,
C_boryana,C_boryana,C_boryana,C_boryana,POP11,C19ME24_1,C19ME24_01,-21.179244,55.379509,Same coordinates than individual 2 from the population
C_boryana,C_boryana,C_boryana,C_boryana,POP11,C19ME24_2,C19ME24_02,-21.179244,55.379509,
C_boryana,C_boryana,C_boryana,C_boryana,POP11,C19ME24_3,C19ME24_03,-21.179244,55.379509,Same coordinates than individual 2 from the population
C_boryana,C_boryana,C_boryana,C_boryana,POP11,C19ME24_4,C19ME24_04,-21.179244,55.379509,Same coordinates than individual 2 from the population
C_boryana,C_boryana,C_boryana,C_boryana,POP11,C19ME24_5,C19ME24_05,-21.179244,55.379509,Same coordinates than individual 2 from the population
C_boryana,C_boryana,C_boryana,C_boryana,POP11,C19ME24_6,C19ME24_06,-21.179244,55.379509,Same coordinates than individual 2 from the population
C_boryana,C_boryana,C_boryana,C_boryana,POP11,C19ME24_7,C19ME24_07,-21.179244,55.379509,Same coordinates than individual 2 from the population
C_boryana,C_boryana,C_boryana,C_boryana,POP11,C19ME24_8,C19ME24_08,-21.179244,55.379509,Same coordinates than individual 2 from the population
C_boryana,C_boryana,C_boryana,C_boryana,POP11,C19ME24_9,C19ME24_09,-21.179244,55.379509,Same coordinates than individual 2 from the population
